公司名称,英文名称,曾用简称,A股代码,A股简称,B股代码,B股简称,H股代码,H股简称,入选指数,所属市场,所属行业,法人代表,注册资金,成立日期,上市日期,官方网站,电子邮箱,联系电话,传真,注册地址,办公地址,邮政编码,主营业务,经营范围,机构简介,获取状态,错误信息
华夏银行股份有限公司,"Hua Xia Bank Co., Limited",,600015,华夏银行,,,,,"国证Ａ指,国证红利,红利指数,沪深300,巨潮大盘,上证180,中证红利",上交所,货币金融服务,杨书剑,1591492.8468,1992-10-14,2003-09-12,www.hxb.com.cn,zhdb@hxb.com.cn,010-66151199-2907,010-66122081,北京市东城区建国门内大街22号,北京市东城区建国门内大街22号华夏银行大厦,100005,吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项；提供保管箱服务；外汇存款；外汇贷款；外汇汇款等。,（一）吸收公众存款；（二）发放短期、中期和长期贷款；（三）办理国内外结算；（四）办理票据承兑与贴现；（五）发行金融债券；（六）代理发行、代理兑付、承销政府债券；（七）买卖政府债券、金融债券；（八）从事同业拆借；（九）买卖、代理买卖外汇；（十）从事银行卡业务；（十一）提供信用证服务及担保；（十二）代理收付款项及代理保险业务；（十三）提供保管箱服务；（十四）经中国银行业监督管理委员会批准的其他业务。经中国人民银行批准的结汇、售汇业务。,本行是一家全国性股份制商业银行，前身原华夏银行是由中国人民银行批准，于1992年10月14日由首钢总公司独资组建成立的全国性商业银行，注册资本为10亿元人民币，总部设在北京。经中国人民银行批准，由33家法人单位以共同发起方式将原华夏银行改制变更为华夏银行股份有限公司，并于1998年3月18日在国家工商管理局办理了工商登记，股本为人民币25亿元。截至2003年6月30日，本行共有股东29家。,成功,
中国民生银行股份有限公司,"China Minsheng Banking Corp., Ltd.",,600016,民生银行,,,01988,民生银行,"国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,央视50,中证红利",上交所,货币金融服务,高迎欣,4378241.8502,1996-02-07,2000-12-19,www.cmbc.com.cn,cmbc@cmbc.com.cn,010-58560975、010-58560824,010-58560720,北京市西城区复兴门内大街2号,北京市西城区复兴门内大街2号,100031,经营吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券等。,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现、发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事结汇、售汇业务；从事银行卡业务；提供信用证服务及担保；代理收付款项；提供保管箱服务；经国务院银行业监督管理机构批准的其他业务；保险兼业代理业务；证券投资基金销售、证券投资基金托管。（市场主体依法自主选择经营项目，开展经营活动；保险兼业代理业务、证券投资基金销售、证券投资基金托管以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,公司系由中华全国工商联负责组建，广州益通集团公司、中国乡镇企业投资开发有限公司、中国煤炭工业进出口总公司、中国船东互保协会、山东泛海集团公司等59家单位作为发起人，按照商业银行法和公司法设立的股份制商业银行。本行于1996年2月7日登记成立，注册资本金为13.80248亿元。经2000年11月27日向社会公开发行人民币普通股35000万股后，公司总股本已达173，024.8万股。,成功,
招商银行股份有限公司,"China Merchants Bank Co., Ltd.",,600036,招商银行,,,03968,招商银行,"ESG 300,分析师指数,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,上证50,央视50,责任指数,中证A100,中证红利,中证央企",上交所,货币金融服务,缪建民,2521984.5601,1987-03-31,2002-04-09,www.cmbchina.com,cmb@cmbchina.com,0755-83198888,0755-83195109,广东省深圳市福田区深南大道7088号,广东省深圳市福田区深南大道7088号,518040,经营吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券等。,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,公司系由招商局轮船股份有限公司作为出资人，于1987年3月31日在深圳市蛇口工商局注册登记，成立时注册资本为人民币1亿元。1989年1月17日，公司吸收6家新企业法人入股，注册资金变更为人民币4亿元。1994年4月4日，深圳市证券管理办公室批准公司改组成为招商银行股份有限公司，经几次增资后，截止2001年12月31日公司的实收资本为人民币420681.8030元，股东数为106家。经本次向社会公开发行人民币普通股150000万股后，公司总股本已增至570681.803万股。,成功,
无锡农村商业银行股份有限公司,"Wuxi Rural Commercial Bank Co., Ltd.",,600908,无锡银行,,,,,"国证2000,国证Ａ指",上交所,货币金融服务,陶畅,219468.1695,2005-06-21,2016-09-23,www.wrcb.com.cn,contact@wrcb.com.cn,0510-82830815,0510-82830815,江苏省无锡市锡山区延庆街11号、丹山路66-3、66-1301、66-1401号,江苏省无锡市金融二街9号,214125,金融服务及其相关业务,吸收公众存款，发放短期、中期和长期贷款，办理国内外结算，办理票据承兑与贴现，代理发行、代理兑付、承销政府债券，买卖政府债券、金融债券，从事同行拆借，代理收付款项及代理保险业务，提供保管箱服务，外汇存款，外汇贷款，外汇汇款，外币兑换，结汇、售汇，资信调查、咨询和见证业务，经中国银行业监督管理委员会批准的其他业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：公募证券投资基金销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,本行前身为1995年设立的锡山市农村信用合作社联合社。2000年10月10日，锡山市人民政府作出《关于同意市农村信用合作联社实行合并法人的批复》（锡府复[2000]46号），同意锡山市农村信用合作社联合社根据国务院、人民银行和江苏省人民政府决定在江苏省进行农村信用社改革试点的工作精神，进行法人合并。2000年10月31日，人民银行南京分行作出《关于合并法人后锡山市、江阴市农村信用合作社联合社开业的批复》（南银复[2000]610号），同意统一法人后的锡山市农村信用合作社联合社开业，并核准其章程及理事长、主任、副主任的任职资格。2001年3月6日，人民银行锡山市支行作出了《关于锡山市农村信用合作社联合社更名的批复》（锡山银发[2001]12号），同意“锡山市农村信用合作社联合社”更名为“无锡市城郊农村信用合作社联合社”。更名后的无锡市城郊农村信用合作社联合社取得了银行业监督管理部门核发的新的《法人许可证》及工商行政管理部门核发的新的《企业法人营业执照》。,成功,
西安银行股份有限公司,"Bank of Xi'an Co., Ltd.",,600928,西安银行,,,,,"国证Ａ指,巨潮小盘",上交所,货币金融服务,梁邦海,444444.4445,1997-06-06,2019-03-01,www.xacbank.com,xacb_ddw@xacbank.com,029-88992333,029-88992618,陕西省西安市高新路60号,陕西省西安市高新路60号,710075,公司金融业务、个人金融业务、资金业务和其他业务。,吸收公众存款；发放短期、中期和长期贷款；办理国内结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借；提供担保；代理收付款项及代理保险业务；提供保管箱业务；办理地方财政信用周转使用资金的委托贷款业务；外汇存款、外汇贷款、外汇汇款、外汇兑换、国际结算、外汇票据的承兑和贴现；结汇、售汇、代客外汇买卖；资信调查、咨询、见证业务；经中国银行业监督管理委员会批准的其他业务。,"本行系经人民银行于1996年12月16日下发的《关于筹建西安城市合作银行的批复》（银复[1996]442号）以及人民银行于1997年4月23日下发的《关于西安城市合作银行开业的批复》（银复[1997]169号）的核准，由西安市原41家城市信用合作社和西安市城市信用合作社联合社、西安市财政局以及西安市飞天科工贸总公司等9家企业于1997年共同发起设立的股份有限公司。1997年4月23日，人民银行向本行颁发了《金融机构法人许可证》（许可证号：D10017910037号）。1997年6月6日，西安市工商局向本行核发了《企业法人营业执照》（注册号：29446804）。本行设立时的名称为“西安城市合作银行”，注册资本为413,303,700元，股本总数为41,330.37万股。",成功,
江苏银行股份有限公司,"Bank of Jiangsu Co., Ltd.",,600919,江苏银行,,,,,"分析师指数,国证Ａ指,国证红利,红利指数,沪深300,巨潮100,巨潮大盘,上证180,中证红利",上交所,货币金融服务,袁军,1835132.4463,2007-01-22,2016-08-02,www.jsbchina.cn,dshbgs@jsbchina.cn,025-52890919,025-58588273,江苏省南京市中华路26号,江苏省南京市中华路26号,210001,各项金融业务,吸收公众存款；发放短期、中期和长期贷款；办理国内结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券、承销短期融资券；买卖政府债券、金融债券、企业债券；从事同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务、代客理财、代理销售基金、代理销售贵金属、代理收付和保管集合资金信托计划；提供保险箱业务；办理委托存贷款业务；从事银行卡业务；外汇存款；外汇贷款；外汇汇款；外币兑换；结售汇、代理远期结售汇；国际结算；自营及代客外汇买卖；同业外汇拆借；买卖或代理买卖股票以外的外币有价证券；资信调查、咨询、见证业务；网上银行；经银行业监督管理机构和有关部门批准的其他业务。,"本行是经中国银监会《关于筹建江苏银行股份有限公司的批复》（银监复[2006]379号）和江苏银监局《关于江苏银行股份有限公司开业的批复》（苏银复[2006]423号）批准，由江苏省内的原无锡商行、苏州商行、南通商行、常州商行、淮安商行、徐州商行、镇江商行、扬州商行、盐城商行和连云港商行等十家城市商业银行通过合并重组设立的股份有限公司。2007年1月9日，江苏银监局向本行核发了《金融许可证》（机构编码：D10123010H0001）。2007年5月24日，江苏银监局向本行换发了《金融许可证》（机构编码：B0243H232010001）。2007年1月22日，江苏省工商行政管理局向本行核发了《企业法人营业执照》（注册号：320000000022189），注册资本为7,850,000,000元。2009年，本行向沙钢集团、苏宁电器和三胞集团定向增发5.50亿股，定向增发完成后，注册资本由7,850,000,000元变更为8,400,000,000元。2010年，本行向华泰证券、凤凰集团等11家公司定向增发7.00亿股，定向增发完成后，注册资本由8,400,000,000元变更为9,100,000,000元。2013年，本行向凤凰集团、省交通控股、宁沪高速等17家公司定向增发12.90亿股，定向增发完成后，注册资本由9,100,000,000元变更为10,390,000,000元。",成功,
杭州银行股份有限公司,"Bank of Hangzhou Co., Ltd.",,600926,杭州银行,,,,,"分析师指数,国证Ａ指,沪深300,巨潮大盘,上证180",上交所,货币金融服务,宋剑斌,724900.2548,1996-09-25,2016-10-27,www.hzbank.com.cn,ir@hzbank.com.cn,0571-85064656,0571-85151339,浙江省杭州市上城区解放东路168号,浙江省杭州市上城区解放东路168号,310016,金融服务及其相关业务。,许可项目：银行业务；结汇、售汇业务；公募证券投资基金销售；证券投资基金托管（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,"根据1995年9月国务院颁发的《国务院关于组建城市合作银行的通知》（国发[1995]25号），城市合作银行是在城市信用合作社的基础上，由城市企业、居民和地方财政投资入股组成的股份制商业银行。1996年5月9日，人民银行以《关于筹建杭州城市合作银行的批复》（银复[1996]146号）批准筹建杭州城市合作银行（本行曾用名）。本行是由原杭州市33家城市信用社股东、信用联社（信用联社直属五个办事处）股东及杭州市财政局、杭州市上城区财政局、杭州市下城区财政局、杭州市江干区财政局、杭州市拱墅区财政局、杭州市西湖区财政局、原杭州市解放路百货商店股份有限公司（已更名为“杭州解百集团股份有限公司”）、原百大集团股份有限公司（杭州）（已更名为“百大集团股份有限公司”）、杭州市电力局、原杭州市电信局（已更名为“浙江省电信有限公司杭州市分公司”）等股东共同发起设立。根据《杭州市城市合作银行发起人协议书》，本行设立时的注册资本为30,074.1万元，全部资本划分为等额股份，每股面值为1.00元，全部由发起人认购。",成功,
南京银行股份有限公司,"Bank of Nanjing Co., Ltd.",,601009,南京银行,,,,,"分析师指数,国证Ａ指,国证红利,红利指数,沪深300,巨潮大盘,上证180,中证红利",上交所,货币金融服务,谢宁,1236356.7245,1996-02-06,2007-07-19,www.njcb.com.cn,boardoffice@njcb.com.cn,025-86775067,025-86775054,江苏省南京市建邺区江山大街88号,江苏省南京市中山路288号,210008,吸收公众存款；发放短期、中期和长期贷款；办理国内结算；办理票据承兑与贴现；发行金融债券；代理发行、代理承兑、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经中国银行业监督管理委员会批准的其他业务。,吸收公众存款；发放短期、中期、和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经中国银行业监督管理委员会批准的其它业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：公募证券投资基金销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）,"1995年8月7日，中国人民银行批准同意在南京市原39家城市信用合作社及信用联社的基础上组建南京城市合作银行。1995年12月20日，中国人民银行批准同意筹建股份有限公司形式的南京城市合作银行。1995年12月29日，南京会计师事务所对本行的注册资本进行了审验，并出具了验资报告，确认截至1995年12月29日本行实收资本人民币35,000万元。1996年2月6日，本行在南京市工商行政管理局办理了登记注册手续，并领取了注册号为[24968275-6]的《企业法人营业执照》，注册资本为3.5亿元。本行设立时的股本总额为350,000,000股，股东户数共计7,095户，其中：法人股东996户，共持有327,747,100股；自然人股东6,099户，共持有22,252,900股。",成功,
重庆农村商业银行股份有限公司,"Chongqing Rural Commercial Bank Co., Ltd.",,601077,渝农商行,,,03618,重庆农村商业银行,"国证Ａ指,红利指数,沪深300,巨潮中盘,上证180,中证红利",上交所,货币金融服务,刘小军,1135700.0,2008-06-27,2019-10-29,www.cqrcb.com,cqrcb@cqrcb.com,023-61110637,023-61110844,重庆市两江新区金沙门路36号,重庆市江北区金沙门路36号,400023,提供银行业及有关的金融服务。,许可项目：银行业务；公募证券投资基金销售；证券投资基金托管。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。,"本行成立于2008年6月27日，系经重庆市人民政府和中国银监会批准，在重庆市联社及39个区县行社的基础上引入新的法人股东，经过清产核资、资产评估、净资产认定、监管机构检查验收等法定程序，最终由重庆渝富等177户企业法人和84,618户自然人以新设合并方式发起设立的股份有限公司。2008年6月25日，中国银监会下发《关于重庆农村商业银行股份有限公司开业的批复》（银监复[2008]244号），同意本行开业，核准本行的注册资本、公司章程、经营范围以及董事（包括董事长和独立董事）、行长、副行长的任职资格；并规定在本行开业的同时，重庆市联社及39家区县行社自行终止，其债权债务转为发行人债权债务。2008年6月27日，重庆银监局核发《金融许可证》（机构编码：B0335H250000001），许可发行人经营中国银监会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列为准。2008年6月27日，重庆市工商局向重庆农商行核发《企业法人营业执照》（注册号：500000000001239）。",成功,
江苏常熟农村商业银行股份有限公司,"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",,601128,常熟银行,,,,,"国证Ａ指,巨潮小盘,上证380,中证500",上交所,货币金融服务,薛文,364817.9244,2001-12-03,2016-09-30,www.csrcbank.com,601128@csrcbank.com,0512-51601128,0512-52909021,江苏省常熟市新世纪大道58号,江苏省常熟市新世纪大道58号,215500,公司金融业务、个人金融业务、资金业务及其他。,（一）吸收公众存款；（二）发放短期、中期和长期贷款；（三）办理国内结算，办理票据承兑和贴现；（四）办理银行卡业务；（五）代理收付款项及代理保险业务，代理发行、代理兑付、承销政府债券和金融债券；（六）买卖政府债券和金融债券；（七）按中国人民银行的规定从事同业拆借；（八）提供保管箱服务；（九）外汇存款；（十）外汇贷款；（十一）外汇汇款；（十二）外币兑换；（十三）国际结算；（十四）外汇票据的承兑和贴现；（十五）结汇、售汇；（十六）资信调查、咨询及见证业务；（十七）银行业监督管理机构批准的其他业务。,"本行成立于2001年12月3日，是经《中国人民银行关于常熟市农村商业银行开业的批复》（银复[2001]197号）批准，在原常熟市农村信用合作社联合社基础上吸收部分社会法人、自然人股东改制设立而成的股份有限公司，是全国首批试点成立的农村商业银行，设立时注册资本100,170,000元。经过2004年配股，2005、2006、2007年三次送红股，2007年引入交通银行作为战略投资者和2010年和2011年资本公积转增股本和增资扩股，2015年转增股本和送红股，发行人目前注册资本为：2,000,455,172元，法定代表人为宋建明先生：总行位于江苏省常熟市新世纪大道58号。",成功,
兴业银行股份有限公司,"Industrial Bank Co., Ltd.",,601166,兴业银行,,,,,"ESG 300,ESG 40,分析师指数,国证Ａ指,国证红利,红利指数,沪深300,巨潮100,巨潮大盘,上证180,上证50,央视50,责任指数,中证红利",上交所,货币金融服务,吕家进,2116285.9513,1988-08-22,2007-02-05,www.cib.com.cn,irm@cib.com.cn,0591-87871169,0591-87871269,福建省福州市台江区江滨中大道398号兴业银行大厦,福建省福州市台江区江滨中大道398号兴业银行大厦,350014,公司业务、同业业务、资金业务、零售业务四大类，电子银行为上述各类业务发展提供了重要渠道。,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；代理发行股票以外的有价证券；买卖、代理买卖股票以外的有价证券；资产托管业务；从事同业拆借；买卖、代理买卖外汇；结汇、售汇业务；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；财务顾问、资信调查、咨询、见证业务；经中国银行保险监督管理委员会批准的其他业务；保险兼业代理业务；黄金及其制品进出口；公募证券投资基金销售；证券投资基金托管。（依法须经批准的项目，经相关部门批准后方可开展经营活动，经营项目以相关部门批准文件或许可证件为准）,根据国务院以《关于福建省深化改革、扩大开放、加快外向型经济发展请示的批复》（国函[1988]58号），经中国人民银行以《关于成立福建兴业银行的批复》（银复[1988]347号）文件批准，于1988年8月在福建省工商行政管理局注册登记的股份制商业银行。本行设立后，分别于1996年、2000年及2004年三次增资扩股，2004年增资扩股后，本行注册资本为人民币39.99亿元。,成功,
北京银行股份有限公司,"Bank of Beijing Co., Ltd.",,601169,北京银行,,,,,"分析师指数,国证Ａ指,国证红利,红利指数,沪深300,巨潮大盘,上证180,中证红利",上交所,货币金融服务,关文杰,2114298.4272,1996-01-29,2007-09-19,www.bankofbeijing.com.cn,snow@bankofbeijing.com.cn,010-66426500,010-66426519,北京市西城区金融大街甲17号首层,北京市西城区金融大街丙17号,100033,商业银行业务,办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；代理资金清算；提供信用证服务及担保；代理销售业务；代理发行、代理承销、代理兑付政府债券、金融债券、企业短期融资券；代收代付业务；代理证券资金清算业务（银证转账）；代理债券结算；代理保险业务；代理政策性银行、外国政府和国际金融机构贷款业务；保管箱服务；发行金融债券；买卖政府债券、金融债券、企业短期融资券；企业年金托管业务；开放式基金的注册登记、认购、申购和赎回业务；资信调查、咨询、见证业务；贷款承诺；企业、个人财务顾问服务、理财业务；组织或参加银团贷款；外汇存款；外汇贷款；外币兑换；出口托收及进口代收；外汇票据承兑和贴现；外汇借款；外汇担保；买卖或代理买卖股票以外的外币有价证券；自营、代客外汇买卖；金融衍生业务；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；代客境外理财业务；经国务院银行业监督管理机构核准的其他业务。,北京银行股份有限公司（以下简称“发行人”或“本行”）是经中国人民银行《关于北京市开展城市合作银行组建工作的复函》（银复[1995]213号）、中国人民银行《关于北京城市合作银行开业的批复》（银复[1995]470号）、中国人民银行北京市分行《转发<关于北京城市合作银行开业的批复>的通知》（京银发[1995]504号）及北京市人民政府办公厅《关于设立北京城市合作银行股份有限公司的通知》（京政办函[1996]6号）批准，原北京市90家城市信用合作社股东以及北京市财政资金管理分局、北京无线技术开发服务公司、北京市华远集团公司、北京市海淀区国有资产投资经营公司、中国机械工业供销总公司、北京城市建设开发集团总公司等六家单位以发起设立方式组建本行。1996年1月10日，本行取得中国人民银行颁发的《许可证书》（注册号为银金管字第14-0002号）；1996年1月29日，本行在北京市工商行政管理局注册登记（注册号11506439），注册资本为人民币10亿元。,成功,
厦门银行股份有限公司,"Xiamen Bank Co., Ltd.",,601187,厦门银行,,,,,"国证Ａ指,巨潮小盘,上证380,中证红利",上交所,货币金融服务,洪枇杷,263912.7888,1996-11-26,2020-10-27,www.xmbankonline.com,dshbgs@xmbankonline.com,0592-5060112,0592-5050839,福建省厦门市思明区湖滨北路101号商业银行大厦,福建省厦门市思明区湖滨北路101号商业银行大厦,361012,公司银行业务、个人银行业务及资金业务。,吸收公众存款；发放短期、中期和长期贷款；办理国内结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借；提供担保及服务；代理收付款项及代理保险业务；提供保险箱业务；办理地方财政信用周转使用资金的委托贷款业务；外汇存款、外汇贷款、外汇汇款、外币兑换、外汇同业拆借、国际结算、结汇、售汇、外汇票据的承兑和贴现、资信调查、咨询、见证业务；经银行业监督管理机构等监管机构批准的其他业务。,"本行系根据国务院《关于组建城市合作银行的通知》（国发[1995]25号）精神，经厦门市经济体制改革委员会《关于同意发起设立厦门城市合作银行股份有限公司的批复》（厦体改［1996］073号），以及中国人民银行《关于厦门市开展城市合作银行组建工作的复函》（银函［1996］185号）、《关于筹建厦门城市合作银行的批复》（银复［1996］355号）和《关于厦门城市合作银行开业的批复》（银复［1996］387号）等文件批准，在原厦门市14家城市信用社及市联社基础上，由厦门市财政局、原厦门市14家城信社及市联社股东，以及其他23名新入股法人股东发起设立的城市商业银行。本行设立时的名称为“厦门城市合作银行股份有限公司”。1998年，经厦门市经济体制改革委员会《关于厦门城市合作银行股份有限公司申请变更名称的批复》（厦体改［1998］078号）等文件批准，本行由“厦门城市合作银行股份有限公司”更名为“厦门市商业银行股份有限公司”。2009年，经中国银监会《中国银监会关于厦门市商业银行更名的批复》（银监复[2009]348号）批准，本行由“厦门市商业银行股份有限公司”更名为“厦门银行股份有限公司”。本行设立时注册资本为25,787.84万元，后经八次增资扩股，截止本招股意向书出具之日，本行注册资本为237,521.51万元。",成功,
上海银行股份有限公司,"Bank of Shanghai Co., Ltd.",,601229,上海银行,,,,,"国证Ａ指,红利指数,沪深300,巨潮大盘,上证180,中证红利",上交所,货币金融服务,顾建忠,1420903.8737,1996-01-30,2016-11-16,www.bosc.cn,webmaster@bosc.cn,021-68476988,021-68476215,上海市黄浦区中山南路688号,中国（上海）自由贸易试验区银城中路168号,200120,商业银行业务。,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；提供资信调查、咨询、见证业务；经中国银行业监督管理机构、中国人民银行和国家外汇管理局等监管机构批准的其他业务。,本行于1996年1月30日在原上海市98家城市信用合作社和上海市城市信用合作社联社基础上组建而成。本行设立时的名称为“上海城市合作银行”，注册资本为15.68亿元。本行是我国成立时间最早的城市商业银行之一。1998年7月16日，中国人民银行下发《关于上海城市合作银行更改行名的批复》（银复[1998]215号），批准本行名称由“上海城市合作银行”变更为“上海银行股份有限公司”。本行于2000年11月20日在上海市工商行政管理局完成名称变更登记。为了适应本行业务发展需要，进一步充实资本，经中国银行业监督管理机构的批准，本行进行了五次增资扩股和一次资本公积金转增股本。截至本招股意向书签署之日，本行注册资本为54.04亿元。,成功,
中国农业银行股份有限公司,Agricultural Bank of China Limited,,601288,农业银行,,,01288,农业银行,"ESG 300,ESG 40,分析师指数,国证Ａ指,国证红利,国证治理,红利指数,沪深300,巨潮100,巨潮大盘,上证180,上证50,中证红利,中证央企",上交所,货币金融服务,谷澍,34998303.3873,2009-01-15,2010-07-15,www.abchina.com,ir@abchina.com,010-85108888,010-85108557,北京市东城区建国门内大街69号,北京市东城区建国门内大街69号,100005,商业银行业务,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；结汇、售汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇借款；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；外汇票据承兑和贴现；自营、代客外汇买卖；外币兑换；外汇担保；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；产业投资基金托管业务；合格境外机构投资者境内证券投资托管业务；代理开放式基金业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；经国务院银行业监督管理机构等监管部门批准的其他业务。,"本行的前身最早可追溯至1951年成立的农业合作银行。1979年2月后，本行相继经历了国家专业银行、国有独资商业银行和国有控股商业银行等不同发展阶段。1999年，本行获准向新成立的中国长城资产管理公司剥离3,458亿元不良资产。2009年1月13日，银监会以《中国银监会关于中国农业银行改制为股份有限公司的批复》（银监复[2009]13号）批准本行改制为中国农业银行股份有限公司，并于2009年1月13日向本行颁发机构编码为B0002H111000001的金融许可证。2009年1月15日，国家工商行政管理总局向本行颁发了注册号为100000000005472的企业法人营业执照，本行正式成立股份有限公司，注册资本为人民币2,600亿元，财政部与汇金公司作为发起人，分别拥有本行50%的股份。。2010年4月29日，本行的注册资本变更为人民币2,700亿元，财政部、汇金公司、社保基金理事会所持本行股份的比例分别约为48.15%、48.15%、3.70%。",成功,
